Granularidade_Geografica;Categoria;Filtro;Localidade;Estado;UF;Ano;Valor;Tipo Valor;Indicador
Sudeste;Localidade;Total;Região;;;2023;0,087;%;5.5
Minas Gerais;Localidade;Total;Estado;Minas Gerais;MG;2023;0,117;%;5.5
Espírito Santo;Localidade;Total;Estado;Espírito Santo;ES;2023;0,113;%;5.5
Rio de Janeiro;Localidade;Total;Estado;Rio de Janeiro;RJ;2023;0,069;%;5.5
São Paulo;Localidade;Total;Estado;São Paulo;SP;2023;0,079;%;5.5
Sul;Localidade;Total;Região;;;2023;0,097;%;5.5
Paraná;Localidade;Total;Estado;Paraná;PR;2023;0,119;%;5.5
Santa Catarina;Localidade;Total;Estado;Santa Catarina;SC;2023;0,085;%;5.5
Rio Grande do Sul;Localidade;Total;Estado;Rio Grande do Sul;RS;2023;0,083;%;5.5
Centro-Oeste;Localidade;Total;Região;;;2023;0,101;%;5.5
Mato Grosso do Sul;Localidade;Total;Estado;Mato Grosso do Sul;MS;2023;0,108;%;5.5
Mato Grosso;Localidade;Total;Estado;Mato Grosso;MT;2023;0,132;%;5.5
Goiás;Localidade;Total;Estado;Goiás;GO;2023;0,106;%;5.5
Distrito Federal;Localidade;Total;Estado;Distrito Federal;DF;2023;0,047;%;5.5
Brasil;Localidade;Total;Brasil;;;2020;;%;5.5
Norte;Localidade;Total;Região;;;2020;;%;5.5
Rondônia;Localidade;Total;Estado;Rondônia;RO;2020;;%;5.5
Acre;Localidade;Total;Estado;Acre;AC;2020;;%;5.5
Amazonas;Localidade;Total;Estado;Amazonas;AM;2020;;%;5.5
Roraima;Localidade;Total;Estado;Roraima;RR;2020;;%;5.5
Pará;Localidade;Total;Estado;Pará;PA;2020;;%;5.5
Amapá;Localidade;Total;Estado;Amapá;AP;2020;;%;5.5
Tocantins;Localidade;Total;Estado;Tocantins;TO;2020;;%;5.5
Nordeste;Localidade;Total;Região;;;2020;;%;5.5
Maranhão;Localidade;Total;Estado;Maranhão;MA;2020;;%;5.5
Piauí;Localidade;Total;Estado;Piauí;PI;2020;;%;5.5
Ceará;Localidade;Total;Estado;Ceará;CE;2020;;%;5.5
Rio Grande do Norte;Localidade;Total;Estado;Rio Grande do Norte;RN;2020;;%;5.5
Paraíba;Localidade;Total;Estado;Paraíba;PB;2020;;%;5.5
Pernambuco;Localidade;Total;Estado;Pernambuco;PE;2020;;%;5.5
Alagoas;Localidade;Total;Estado;Alagoas;AL;2020;;%;5.5
Sergipe;Localidade;Total;Estado;Sergipe;SE;2020;;%;5.5
Bahia;Localidade;Total;Estado;Bahia;BA;2020;;%;5.5
Sudeste;Localidade;Total;Região;;;2020;;%;5.5
Minas Gerais;Localidade;Total;Estado;Minas Gerais;MG;2020;;%;5.5
Espírito Santo;Localidade;Total;Estado;Espírito Santo;ES;2020;;%;5.5
Rio de Janeiro;Localidade;Total;Estado;Rio de Janeiro;RJ;2020;;%;5.5
São Paulo;Localidade;Total;Estado;São Paulo;SP;2020;;%;5.5
Sul;Localidade;Total;Região;;;2020;;%;5.5
Paraná;Localidade;Total;Estado;Paraná;PR;2020;;%;5.5
Santa Catarina;Localidade;Total;Estado;Santa Catarina;SC;2020;;%;5.5
Rio Grande do Sul;Localidade;Total;Estado;Rio Grande do Sul;RS;2020;;%;5.5
Centro-Oeste;Localidade;Total;Região;;;2020;;%;5.5
Mato Grosso do Sul;Localidade;Total;Estado;Mato Grosso do Sul;MS;2020;;%;5.5
Mato Grosso;Localidade;Total;Estado;Mato Grosso;MT;2020;;%;5.5
Goiás;Localidade;Total;Estado;Goiás;GO;2020;;%;5.5
Distrito Federal;Localidade;Total;Estado;Distrito Federal;DF;2020;;%;5.5
Brasil;Localidade;Total;Brasil;;;2021;;%;5.5
Norte;Localidade;Total;Região;;;2021;;%;5.5
Rondônia;Localidade;Total;Estado;Rondônia;RO;2021;;%;5.5
Acre;Localidade;Total;Estado;Acre;AC;2021;;%;5.5
Amazonas;Localidade;Total;Estado;Amazonas;AM;2021;;%;5.5
Roraima;Localidade;Total;Estado;Roraima;RR;2021;;%;5.5
Pará;Localidade;Total;Estado;Pará;PA;2021;;%;5.5
Amapá;Localidade;Total;Estado;Amapá;AP;2021;;%;5.5
Tocantins;Localidade;Total;Estado;Tocantins;TO;2021;;%;5.5
Nordeste;Localidade;Total;Região;;;2021;;%;5.5
Maranhão;Localidade;Total;Estado;Maranhão;MA;2021;;%;5.5
Piauí;Localidade;Total;Estado;Piauí;PI;2021;;%;5.5
Ceará;Localidade;Total;Estado;Ceará;CE;2021;;%;5.5
Rio Grande do Norte;Localidade;Total;Estado;Rio Grande do Norte;RN;2021;;%;5.5
Paraíba;Localidade;Total;Estado;Paraíba;PB;2021;;%;5.5
Pernambuco;Localidade;Total;Estado;Pernambuco;PE;2021;;%;5.5
Alagoas;Localidade;Total;Estado;Alagoas;AL;2021;;%;5.5
Sergipe;Localidade;Total;Estado;Sergipe;SE;2021;;%;5.5
Bahia;Localidade;Total;Estado;Bahia;BA;2021;;%;5.5
